ind_id,children,annual_income,education,employed_days,mobile_phone,work_phone,phone,email_id,family_members,label,age,gender_M,car_owner_Y,propert_owner_Y,type_income_Pensioner,type_income_State servant,type_income_Working,marital_status_Married,marital_status_Separated,marital_status_Single / not married,marital_status_Widow,housing_type_House / apartment,housing_type_Municipal apartment,housing_type_Office apartment,housing_type_Rented apartment,housing_type_With parents,type_occupation_Cleaning staff,type_occupation_Cooking staff,type_occupation_Core staff,type_occupation_Drivers,type_occupation_HR staff,type_occupation_High skill tech staff,type_occupation_IT staff,type_occupation_Laborers,type_occupation_Low-skill Laborers,type_occupation_Managers,type_occupation_Medicine staff,type_occupation_NA,type_occupation_Private service staff,type_occupation_Realty agents,type_occupation_Sales staff,type_occupation_Secretaries,type_occupation_Security staff,type_occupation_Waiters/barmen staff
5008827,0,3682.375,3,365243,1,0,0,0,2,1,51.39493497604381,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009744,0,3682.375,3,-586,1,1,1,0,2,1,37.1170431211499,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009746,0,3682.375,3,-586,1,1,1,0,2,1,42.878850102669404,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009749,0,3682.375,3,-586,1,1,1,0,2,1,37.1170431211499,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009752,0,3682.375,3,-586,1,1,1,0,2,1,37.1170431211499,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009753,0,3682.375,3,-586,1,1,1,0,2,1,37.1170431211499,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009754,0,3682.375,3,-586,1,1,1,0,2,1,37.1170431211499,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5009894,0,3682.375,1,365243,1,0,0,0,2,1,60.59958932238193,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5010864,1,3682.375,1,-678,1,0,1,1,3,1,49.75496235455168,True,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5010868,1,3682.375,1,-678,1,0,1,1,3,1,49.75496235455168,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5010869,1,3682.375,1,-678,1,0,1,1,1,1,49.75496235455168,True,True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5018498,0,3682.375,1,-1002,1,1,1,0,2,1,51.88227241615332,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5018501,0,3682.375,1,-1002,1,1,1,0,2,1,51.88227241615332,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5018503,0,3682.375,1,-1002,1,1,1,0,2,1,51.88227241615332,False,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5021303,1,3682.375,3,-913,1,0,0,1,3,1,24.386036960985628,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5021310,0,3682.375,1,-248,1,0,0,0,2,1,46.25872689938399,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5021314,0,3682.375,1,-248,1,0,0,0,2,1,46.25872689938399,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
5021430,0,3682.375,3,-2470,1,0,0,0,1,1,51.76454483230664,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5021431,0,3682.375,3,-2470,1,0,0,0,1,1,51.76454483230664,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
5021998,0,3682.375,1,-1644,1,0,0,1,2,1,51.644079397672826,True,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5022053,0,3682.375,3,-4327,1,0,0,0,1,1,35.07460643394935,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5022617,0,3682.375,1,-1674,1,0,0,1,2,1,32.91444216290212,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
